seed,failed,beta_hat,se,ci_low,ci_high,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
0,False,0.49059411252652263,0.04905090978559485,0.3944543293467567,0.5867338957062885,sr_pds,sr_pds,[],"[('int', 34, 40)]",[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
1,False,0.4801811273556291,0.04606674969252548,0.3898902979582792,0.570471956752979,sr_pds,sr_pds,[],[],[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
2,False,0.45909140805711923,0.048076761700188486,0.3648609551247498,0.5533218609894887,sr_pds,sr_pds,[],"[('int', 12, 25)]",[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
3,False,0.46163294671495714,0.04416008024081867,0.37507918944295254,0.5481867039869617,sr_pds,sr_pds,[],"[('cubic', 47, 24), ('cubic', 47, 36), ('int', 24, 47), ('int', 36, 47)]",[],"[('cubic', 47, 36)]",{},"{('cubic', 47, 36): 0.027470708764664706}",dgp1,sr_pds,Linear,SR-PDS,0.5
4,False,0.5477581435545194,0.045042678484606,0.4594744937246916,0.6360417933843471,sr_pds,sr_pds,[],[],[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
5,False,0.42349653347866456,0.04403371321511341,0.3371904555770423,0.5098026113802868,sr_pds,sr_pds,[],"[('int', 15, 35)]",[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
6,False,0.5097147948640686,0.043286960519772176,0.4248723522453151,0.5945572374828221,sr_pds,sr_pds,[],"[('int', 7, 17), ('int', 7, 37)]",[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
7,False,0.5602150651850896,0.046904233982699536,0.4682827665789985,0.6521473637911807,sr_pds,sr_pds,[],"[('int', 30, 33)]",[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
8,False,0.4870236168389747,0.04691786036913763,0.39506461051546493,0.5789826231624845,sr_pds,sr_pds,[],[],[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
9,False,0.5080576152473797,0.04195525601136146,0.4258253134651112,0.5902899170296482,sr_pds,sr_pds,[],"[('int', 2, 26), ('int', 11, 18), ('int', 18, 25)]",[],[],{},{},dgp1,sr_pds,Linear,SR-PDS,0.5
